province,count
เชียงใหม่,2743
เชียงราย,566
เพชรบุรี,2025
เพชรบูรณ์,1176
เลย,993
แพร่,872
แม่ฮ่องสอน,168
กระบี่,1394
กรุงเทพมหานคร,28041
กาญจนบุรี,2374
กาฬสินธุ์,2143
กำแพงเพชร,1690
ขอนแก่น,3382
จันทบุรี,1522
ฉะเชิงเทรา,4102
ชลบุรี,11029
ชัยนาท,507
ชัยภูมิ,1890
ชุมพร,1615
ตรัง,1742
ตราด,554
ตาก,1673
นครนายก,1125
นครปฐม,5295
นครพนม,1259
นครราชสีมา,6114
นครศรีธรรมราช,9213
นครสวรรค์,1762
นนทบุรี,8063
นราธิวาส,1725
น่าน,524
บึงกาฬ,796
บุรีรัมย์,4976
ปทุมธานี,5156
ประจวบคีรีขันธ์,2669
ปราจีนบุรี,2410
ปัตตานี,2318
พระนครศรีอยุธยา,5627
พะเยา,532
พังงา,920
พัทลุง,2153
พิจิตร,736
พิษณุโลก,1734
ภูเก็ต,6934
มหาสารคาม,1898
มุกดาหาร,466
ยโสธร,1396
ยะลา,2310
ร้อยเอ็ด,3283
ระนอง,1349
ระยอง,5319
ราชบุรี,4755
ลพบุรี,1860
ลำปาง,615
ลำพูน,61
ศรีสะเกษ,1713
สกลนคร,1425
สงขลา,2827
สตูล,1429
สมุทรปราการ,9498
สมุทรสงคราม,2066
สมุทรสาคร,6472
สระแก้ว,1988
สระบุรี,3150
สิงห์บุรี,646
สุโขทัย,1200
สุพรรณบุรี,3875
สุราษฎร์ธานี,2214
สุรินทร์,2473
หนองคาย,2010
หนองบัวลำภู,912
อ่างทอง,1576
อำนาจเจริญ,458
อุดรธานี,1949
อุตรดิตถ์,875
อุทัยธานี,646
อุบลราชธานี,2301
